Year;Quarter;Month;DayofMonth;DayOfWeek;FlightDate;AirlineID;TailNum;FlightNum;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginStateName;DestAirportID;DestAirportSeqID;DestCityMarketID
2017;4;12;1;5;2017-12-01;20304;N954SW;5413;12892;1289206;32575;Los Angeles, CA;California;14262;1426204;34262
2017;4;12;1;5;2017-12-01;20304;N932SW;5414;12892;1289206;32575;Los Angeles, CA;California;14570;1457002;34570
2017;4;12;1;5;2017-12-01;20304;N114SY;5415;12892;1289206;32575;Los Angeles, CA;California;14679;1467903;33570
2017;4;12;1;5;2017-12-01;20304;N928EV;5416;13930;1393004;30977;Chicago, IL;Illinois;15412;1541203;35412
2017;4;12;1;5;2017-12-01;20304;N915SW;5417;10140;1014003;30140;Albuquerque, NM;New Mexico;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N207SY;5418;13851;1385103;33851;Oklahoma City, OK;Oklahoma;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N790SK;5421;11292;1129202;30325;Denver, CO;Colorado;10372;1037203;30372
2017;4;12;1;5;2017-12-01;20304;N743SK;5423;13931;1393102;33667;Norfolk, VA;Virginia;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N901EV;5425;14108;1410803;34108;Peoria, IL;Illinois;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N962SW;5426;14570;1457002;34570;Reno, NV;Nevada;12892;1289206;32575
2017;4;12;1;5;2017-12-01;20304;N208SY;5427;13851;1385103;33851;Oklahoma City, OK;Oklahoma;14771;1477102;32457
2017;4;12;1;5;2017-12-01;20304;N205SY;5428;13930;1393004;30977;Chicago, IL;Illinois;10693;1069302;30693
2017;4;12;1;5;2017-12-01;20304;N145SY;5429;14683;1468303;33214;San Antonio, TX;Texas;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N788SK;5430;14771;1477102;32457;San Francisco, CA;California;13476;1347603;34922
2017;4;12;1;5;2017-12-01;20304;N909SW;5431;14711;1471103;34711;State College, PA;Pennsylvania;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N920SW;5432;13930;1393004;30977;Chicago, IL;Illinois;14108;1410803;34108
2017;4;12;1;5;2017-12-01;20304;N138SY;5433;13930;1393004;30977;Chicago, IL;Illinois;14869;1486903;34614
2017;4;12;1;5;2017-12-01;20304;N152SY;5434;14252;1425202;34252;Pasco/Kennewick/Richland, WA;Washington;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N144SY;5435;14107;1410702;30466;Phoenix, AZ;Arizona;12892;1289206;32575
